owasp,elicited,n,asr,lo,hi
a01,150,600,25.0,21.7,28.62
a02,95,600,15.83,13.13,18.97
a03,201,600,33.5,29.84,37.37
a04,263,600,43.83,39.91,47.83
a05,310,600,51.67,47.67,55.64
a06,256,600,42.67,38.77,46.66
a07,137,600,22.83,19.65,26.36
a08,255,600,42.5,38.6,46.49
a09,271,600,45.17,41.23,49.17
a10,188,600,31.33,27.75,35.15
