operator,elicited,n,asr,loo_delta_pp
M1,357,1000,35.7,0.32
M2,386,1000,38.6,3.8
M3,352,1000,35.2,-0.28
M4,399,1000,39.9,5.36
M5,356,1000,35.6,0.2
M6,276,1000,27.6,-9.4
